,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
83,"[16, 18, 10402, 10749]",632632,ja,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",2.2659,2020-08-22,Given,8.255,413
84,"[35, 18, 10402]",654299,es,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",1.2636,2019-12-24,Out of the Clear Blue Sky,8.25,376
85,"[18, 10402]",10376,it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",4.0158,1998-10-28,The Legend of 1900,8.246,2399
86,"[10402, 18, 10749]",630566,en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",5.5989,2020-10-09,Clouds,8.242,1042
87,[10402],568332,en,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",1.7903,2018-12-31,Taylor Swift: Reputation Stadium Tour,8.2,420
88,"[18, 53, 9648, 28]",670,ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",14.2173,2003-11-21,Oldboy,8.24,9566
89,"[18, 10749]",447362,en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2.4845,2020-11-27,Life in a Year,8.239,1950
90,"[28, 878]",603,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",25.1063,1999-03-31,The Matrix,8.238,27371
91,"[16, 18, 10749]",504253,ja,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",3.2655,2018-09-01,I Want to Eat Your Pancreas,8.237,1718
92,"[12, 878, 28]",299534,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",25.0198,2019-04-24,Avengers: Endgame,8.236,27244
93,"[12, 28, 878]",299536,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",36.2791,2018-04-25,Avengers: Infinity War,8.234,31464
94,"[18, 10751]",1186532,en,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",5.2983,2024-08-22,The Forge,8.218,319
